Anchor_Name,Anchor_Color,Cheapest_Retailer,Min_Price,Price_Spread,Spread_Pct,FPT_Price,CPS_Price,HoangHa_Price,Viettel_Price,DDV_Price,MW_Price
iPhone 15 128GB,Xanh dương,Viettel,12490000.0,4500000.0,36.0,16790000,16890000.0,13490000.0,12490000.0,16690000.0,16990000.0
iPhone 16 Pro Max 256GB,Titan Đen,HoangHa,30490000.0,1100000.0,3.6,31590000,31590000.0,30490000.0,30890000.0,30990000.0,31590000.0
iPhone 16 Pro 128GB,Titan Trắng,"HoangHa, Viettel",24990000.0,6000000.0,24.0,25490000,25790000.0,24990000.0,24990000.0,30990000.0,25590000.0
iPhone 16 Plus 128GB,Đen,HoangHa,23390000.0,600000.0,2.6,23790000,23790000.0,23390000.0,23490000.0,23590000.0,23990000.0
iPhone 16 128GB,Xanh Lưu Ly,DDV,19690000.0,3800000.0,19.3,19790000,19790000.0,19990000.0,23490000.0,19690000.0,19990000.0
iPhone 13 128GB,Đỏ,"CPS, HoangHa",11990000.0,8000000.0,66.7,12090000,11990000.0,11990000.0,12090000.0,16590000.0,19990000.0
iPhone 14 128GB,Trắng,Viettel,12490000.0,1400000.0,11.2,13590000,13590000.0,13490000.0,12490000.0,13490000.0,13890000.0
iPhone 15 128GB,Đen,Viettel,12490000.0,12500000.0,100.1,16790000,16890000.0,16790000.0,12490000.0,24990000.0,16990000.0
iPhone 16 Pro Max 256GB,Titan Tự nhiên,HoangHa,30490000.0,1100000.0,3.6,31590000,31590000.0,30490000.0,30890000.0,30990000.0,31590000.0
"iPhone 16 Pro giá giảm đến 6 triệu, nhiều ưu đãi, góp 0%",Titan Sa Mạc,"HoangHa, Viettel",24990000.0,6000000.0,24.0,25590000,25790000.0,24990000.0,24990000.0,30990000.0,25590000.0
iPhone 16 Plus 128GB,Xanh Lưu Ly,HoangHa,23390000.0,600000.0,2.6,23790000,23790000.0,23390000.0,23490000.0,23690000.0,23990000.0
iPhone 16 128GB,Hồng,HoangHa,19490000.0,500000.0,2.6,19790000,19790000.0,19490000.0,19990000.0,19690000.0,19990000.0
iPhone 13 128GB,Hồng,HoangHa,11990000.0,8000000.0,66.7,12090000,12290000.0,11990000.0,19990000.0,16590000.0,19990000.0
"iPhone 14 chính hãng | Giá tốt, ưu đãi đến 6 triệu",Đỏ,CPS,11990000.0,19500000.0,162.6,13990000,11990000.0,17390000.0,30990000.0,13490000.0,31490000.0
iPhone 15 128GB,Vàng,HoangHa,16390000.0,3600000.0,22.0,16790000,16890000.0,16390000.0,19990000.0,16590000.0,16990000.0
iPhone 16 Plus 128GB,Xanh Mòng Két,HoangHa,23390000.0,600000.0,2.6,23790000,23790000.0,23390000.0,23490000.0,23690000.0,23990000.0
iPhone 14 128GB,Tím,Viettel,12490000.0,1500000.0,12.0,13990000,13590000.0,13490000.0,12490000.0,13490000.0,13890000.0
iPhone 16 128GB,Đen,Viettel,12490000.0,12500000.0,100.1,19790000,19790000.0,19990000.0,12490000.0,24990000.0,19990000.0
"iPhone 13 chính hãng | Đủ màu, giá tốt nhất hôm nay",Xanh,FPT,12590000.0,11200000.0,89.0,12590000,23790000.0,17690000.0,23490000.0,16590000.0,19590000.0
iPhone 15 128GB,Xanh lá,HoangHa,13490000.0,6500000.0,48.2,16790000,16890000.0,13490000.0,19990000.0,16690000.0,13890000.0
iPhone 17 256GB,Xanh Lam Khói,DDV,24790000.0,200000.0,0.8,24990000,24990000.0,24890000.0,24990000.0,24790000.0,24990000.0
iPhone 14 128GB,Vàng,DDV,13490000.0,6500000.0,48.2,13990000,13590000.0,16390000.0,19990000.0,13490000.0,16990000.0
