Retailer;Product_Name;mapped
cps;Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M;apple_watch_series_10_titanium_46mm
cps;Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M;apple_watch_series_10_titanium_46mm
cps;Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M;apple_watch_series_10_titanium_46mm
cps;Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M;apple_watch_series_10_titanium_46mm
cps;Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải;apple_watch_series_10_lte_42mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;apple_watch_series_10_titanium_46mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
mw;Apple Watch Series 10 GPS 42mm viền nhôm dây vải;apple_watch_series_10_gps_42mm
viettel;Apple Watch Series 10 GPS 46mm Dây Cao Su S/M;apple_watch_series_10_gps_46mm
viettel;Apple Watch Series 10 GPS 46mm Dây Cao Su S/M;apple_watch_series_10_gps_46mm
viettel;Apple Watch Series 10 GPS 46mm Dây Cao Su S/M;apple_watch_series_10_gps_46mm
viettel;Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M;apple_watch_series_10_titanium_42mm
viettel;Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M;apple_watch_series_10_titanium_42mm
viettel;Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M;apple_watch_series_10_titanium_42mm
viettel;Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm;apple_watch_series_10_titanium_46mm
viettel;Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm;apple_watch_series_10_titanium_46mm
viettel;Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm;apple_watch_series_10_titanium_46mm
cps;Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_series_11_lte_42mm
cps;Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_series_11_lte_42mm
cps;Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_series_11_lte_42mm
cps;Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_series_11_lte_42mm
