Product Name;Lowest Price;Promo Price @ FPT;Promo Price @ FPT + VNPay;Promo Price @ MW;Promo Price @ MW + VNPay;Promo Price @ TopZone;Promo Price @ TZ + VNPay;Promo Price @ VT;Promo Price @ VT + VNPay;Promo Price @ SD;Promo Price @ SD + VNPay;Promo Price @ HH;Promo Price @ HH + VNPay;Promo Price @ DDV;Promo Price @ CPS;Promo Price @ CPS + VNPAY;Promo Price @ Tiki;Promo Price @ Shopee;Stock @ FPT;Stock @ MW;Stock @ TopZone;Stock @ VT;Stock @ SD;Stock @ HH;Stock @ DDV;Stock @ CPS;Stock @ Tiki;Stock @ Shopee;Date
iPhone SE 2022 256GB;14.490.000;14.990.000;14.490.000;not trading;not trading;not trading;not trading;not trading;not trading;14.990.000;14.990.000;not trading;not trading;14.490.000;15.990.000;;not trading;not trading;No;not trading;No;not trading;Yes;not trading;Yes;No;not trading;not trading;2022-08-01
iPad Pro 12.9 2021 M1 WiFi 5G 128GB;27.790.000;29.299.000;28.899.000;29.290.000;28.790.000;29.290.000;28.790.000;28.490.000;28.490.000;27.790.000;27.790.000;29.290.000;28.790.000;30.190.000;27.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
iPad Pro 12.9 2021 M1 WiFi 5G 256GB;30.390.000;31.399.000;30.999.000;31.390.000;30.890.000;31.390.000;30.890.000;temporary OOS;temporary OOS;30.990.000;30.990.000;30.890.000;30.390.000;not trading;30.990.000;;not trading;not trading;No;Yes;Yes;No;Yes;Yes;not trading;Yes;not trading;not trading;2022-08-01
iPad Pro 12.9 2021 M1 WiFi 128GB;23.590.000;25.499.000;25.299.000;25.490.000;24.990.000;25.490.000;24.990.000;24.290.000;24.290.000;23.590.000;23.590.000;24.490.000;23.990.000;23.990.000;23.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;not trading;2022-08-01
iPad Pro 12.9 2021 M1 WiFi 256GB;25.590.000;27.999.000;27.599.000;27.990.000;27.490.000;27.990.000;27.490.000;not trading;not trading;25.590.000;25.590.000;26.890.000;26.390.000;not trading;25.990.000;;not trading;not trading;Yes;Yes;Yes;not trading;Yes;Yes;not trading;Yes;not trading;not trading;2022-08-01
iPad Pro 11 2021 M1 WiFi 5G 128GB;23.450.000;25.299.000;24.899.000;26.090.000;26.090.000;26.090.000;26.090.000;temporary OOS;temporary OOS;23.950.000;23.450.000;23.990.000;23.490.000;not trading;25.190.000;;not trading;not trading;No;No;No;No;Yes;No;not trading;No;not trading;not trading;2022-08-01
iPad Pro 11 2021 M1 WiFi 5G 256GB;25.950.000;29.499.000;29.099.000;29.690.000;29.690.000;29.690.000;29.690.000;temporary OOS;temporary OOS;26.450.000;25.950.000;26.490.000;25.990.000;not trading;28.590.000;;not trading;40.000.000;No;No;No;No;Yes;Yes;not trading;No;not trading;No;2022-08-01
iPad Pro 11 2021 M1 WiFi 128GB;18.990.000;19.999.000;19.599.000;20.290.000;20.290.000;19.790.000;19.290.000;temporary OOS;temporary OOS;19.490.000;18.990.000;19.590.000;19.340.000;19.690.000;19.590.000;;19.580.000;not trading;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPad Pro 11 2021 M1 WiFi 256GB;21.990.000;23.999.000;23.799.000;24.290.000;24.290.000;24.090.000;23.590.000;temporary OOS;temporary OOS;22.990.000;22.490.000;22.490.000;21.990.000;not trading;23.290.000;;not trading;not trading;No;Yes;Yes;No;Yes;Yes;not trading;Yes;not trading;not trading;2022-08-01
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB;17.740.000;19.990.000;19.590.000;20.790.000;20.790.000;19.190.000;18.690.000;18.890.000;17.945.500;18.790.000;18.290.000;17.990.000;17.740.000;18.890.000;18.990.000;;18.850.000;not trading;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
