SKU,Days_Tracked,First_Price_Avg,Last_Price_Avg,Change_Pct,Volatility,Min_Price_Seen,Max_Price_Seen
Apple Watch Series 11 GPS 46mm Viền nhôm dây cao su - Tím sương khói,11,12042000.0,11540000.0,-4.17,558291.96,9490000.0,19490000.0
Apple Watch Series 11 GPS 46mm Viền nhôm dây cao su - Đen,25,11562000.0,10008333.333333334,-13.44,849630.27,0.0,19490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây Ocean - Free size,6,20240000.0,23190000.0,14.58,1540875.17,9190000.0,23490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây Ocean - Đen,16,19450000.0,19956666.666666668,2.6,265068.04,5890000.0,23290000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Alpine - Size L,3,20440000.0,23190000.0,13.45,1597422.69,10390000.0,23490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Alpine - Size M,6,20240000.0,23190000.0,14.58,1540875.17,9190000.0,23490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Alpine - Size S,6,20273333.333333332,23190000.0,14.39,1523665.17,9190000.0,23490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Alpine - Đen,17,20110000.0,20490000.0,1.89,205302.86,8990000.0,24990000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Milan Titan - Size L,5,21856666.666666668,26640000.0,21.89,2496959.26,10390000.0,26990000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Milan Titan - Size M,5,21856666.666666668,26290000.0,20.28,2434360.51,10390000.0,26490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Milan Titan - Size S,5,21690000.0,26290000.0,21.21,2531841.67,9190000.0,26490000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Milan Titan - Titan,11,20662000.0,19873333.333333332,-3.82,676010.85,9990000.0,26290000.0
Apple Watch Ultra 3 GPS + Cellular 49mm Viền titan Dây quấn Milan Titan - Đen,17,22162000.0,21673333.333333332,-2.2,421136.48,9990000.0,26290000.0
