retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,30490000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102818
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Ánh Sao 512gb 24GB,Mac,512gb,Ánh Sao,32490000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html?product_id=101847
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 512gb 16GB,Mac,512gb,Ánh Sao,35090000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102665
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,29990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html?product_id=102658
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,33490000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,28990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101855
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,32490000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html?product_id=101848
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,29290000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101840
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,35090000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102663
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,33990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102823
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 512gb 16GB,Mac,512gb,Ánh Sao,33490000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101859
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,28990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101853
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,32990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html?product_id=101845
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Bạc 512gb 16GB,Mac,512gb,Bạc,28990000.0,No,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101841
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Ánh Sao 512gb 24GB,Mac,512gb,Ánh Sao,33990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102822
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,33490000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101860
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Bạc 512gb 24GB,Mac,512gb,Bạc,32990000.0,No,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025.html?product_id=101846
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,24990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w.html?product_id=104399
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,34590000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102820
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,23990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html?product_id=101835
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,33490000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101857
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Ánh Sao 256gb 16GB,Mac,256gb,Ánh Sao,23990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html?product_id=101837
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,29990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html?product_id=102660
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,39590000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,24990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w.html?product_id=104396
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,34990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102666
